feature,importance
APICall::Landroid/view/View.setVisibility(),0.0549968566653042
APICall::Landroid/content/Intent.getStringExtra(),0.04388076822964768
APICall::Landroid/content/Intent.putExtra(),0.039822293200756996
APICall::Landroid/os/Bundle.getBoolean(),0.03904683718641175
APICall::Landroid/content/Context.getApplicationInfo(),0.03642658259194717
APICall::Landroid/os/IBinder.queryLocalInterface(),0.028820172895736258
Permission::WAKE_LOCK,0.02457607802535357
Permission::WRITE_EXTERNAL_STORAGE,0.02421785685314
APICall::Landroid/view/LayoutInflater.from(),0.02378318851522239
APICall::Landroid/os/IBinder.transact(),0.022378580498165143
Permission::WRITE_SETTINGS,0.02190204727688036
APICall::Landroid/content/Intent.getData(),0.020991951130659676
APICall::Landroid/os/SystemClock.uptimeMillis(),0.020754752871657792
APICall::Landroid/content/Intent.toUri(),0.02014399419156995
APICall::Landroid/view/MenuItem.setShortcut(),0.019726580755531978
APICall::Landroid/view/View$MeasureSpec.makeMeasureSpec(),0.018971549341137917
APICall::Landroid/view/View.setOnTouchListener(),0.018704041514222523
APICall::Landroid/os/Parcel.writeInterfaceToken(),0.018018098376396258
APICall::Landroid/content/Intent.setType(),0.016571275738056494
APICall::Landroid/view/MenuItem.getIntent(),0.01602775251841294
APICall::Landroid/content/pm/PackageManager.getApplicationInfo(),0.0157967452388442
APICall::Landroid/os/Handler.removeMessages(),0.015584629024064782
APICall::Landroid/content/SharedPreferences$Editor.putInt(),0.015259260580981758
APICall::Landroid/widget/PopupWindow.setWindowLayoutMode(),0.014853923748121419
APICall::Landroid/os/Binder.getCallingPid(),0.014732332283572696
APICall::Landroid/widget/ImageView.setId(),0.01471516660245642
APICall::Landroid/view/View.setTag(),0.014395881873411936
APICall::Landroid/view/MotionEvent.obtain(),0.012996275228100058
APICall::Landroid/widget/RelativeLayout.onAttachedToWindow(),0.012819028431493362
APICall::Landroid/os/Parcel.recycle(),0.012487218155090645
APICall::Landroid/content/IntentFilter.addDataScheme(),0.01213779340359303
APICall::Landroid/util/Base64OutputStream.close(),0.010899638648095374
APICall::Landroid/net/Uri.writeToParcel(),0.010638526385682278
APICall::Landroid/content/ContentValues.put(),0.010616792113931897
APICall::Landroid/view/VelocityTracker.recycle(),0.010575226039587892
APICall::Landroid/util/Base64OutputStream.write(),0.010497338400075945
APICall::Landroid/net/http/HttpResponseCache.getInstalled(),0.010025575176741438
APICall::Landroid/widget/TextView.setTypeface(),0.009432537364857174
