feature,importance
vt_detection,0.6697602377794185
APICall::Landroid/content/SharedPreferences.edit(),0.03285271042345835
APICall::Landroid/util/SparseArray.size(),0.029156502794544605
APICall::Landroid/view/MotionEvent.obtain(),0.023794542374182975
APICall::Landroid/content/Intent.getStringExtra(),0.021926811401881578
APICall::Landroid/view/View.setLayoutParams(),0.0194102437967963
APICall::Landroid/content/Intent.setData(),0.019103154373111362
APICall::Landroid/content/Intent.setComponent(),0.01681595562090856
APICall::Landroid/view/View.getId(),0.01632452858601456
APICall::Landroid/content/Context.getApplicationContext(),0.015858041473718
APICall::Landroid/os/Parcel.writeInt(),0.01344805187848855
APICall::Landroid/widget/ImageView.setImageDrawable(),0.013335150419713667
APICall::Landroid/util/Log.d(),0.012306794636910472
APICall::Landroid/os/Parcel.enforceInterface(),0.012119152646469138
APICall::Landroid/os/HandlerThread.getLooper(),0.010611649806770984
APICall::Landroid/content/Intent.addCategory(),0.009931333120976575
APICall::Landroid/os/SystemClock.elapsedRealtime(),0.006991141346771679
APICall::Landroid/content/ComponentName.getPackageName(),0.006935347783009871
APICall::Landroid/content/SharedPreferences.getInt(),0.004076364343245258
APICall::Landroid/os/Bundle.putStringArray(),0.0038254704381447927
APICall::Landroid/view/ViewGroup.indexOfChild(),0.003003698175591336
APICall::Landroid/util/SparseArray.keyAt(),0.002798789018854413
APICall::Landroid/view/ViewTreeObserver.isAlive(),0.002764802448179569
APICall::Landroid/widget/ImageButton.setOnClickListener(),0.0025345542096090927
APICall::Landroid/view/ViewTreeObserver.addOnGlobalLayoutListener(),0.0022308678268459724
APICall::Landroid/os/Parcel.writeBundle(),0.0021300109711150737
APICall::Landroid/os/Parcel.writeList(),0.002019644329258196
APICall::Landroid/view/View.hasOverlappingRendering(),0.0019957966719830306
APICall::Landroid/view/KeyEvent.getRepeatCount(),0.0019064132598819766
APICall::Landroid/widget/TextView.setLayoutParams(),0.0015588485166033584
APICall::Landroid/content/Context.obtainStyledAttributes(),0.0013389609663957652
APICall::Landroid/net/Uri.encode(),0.0013200435561511864
APICall::Landroid/view/View.draw(),0.001169953442091125
APICall::Landroid/net/ConnectivityManager.getActiveNetworkInfo(),0.001114692610697644
APICall::Landroid/view/View.getMinimumHeight(),0.0009859412132609824
APICall::Landroid/view/MotionEvent.recycle(),0.0009144602285379389
APICall::Landroid/content/pm/PackageManager.queryIntentServices(),0.0009115585251878592
APICall::Landroid/content/res/Resources.getColorStateList(),0.0009079889468434352
APICall::Landroid/widget/ListView.setAdapter(),0.0008882971106295227
APICall::Landroid/widget/TextView.setOnClickListener(),0.0008790651090937384
APICall::Landroid/os/Parcel.createTypedArray(),0.0007358887612920909
APICall::Landroid/view/accessibility/AccessibilityNodeInfo.isLongClickable(),0.0006876899473152693
APICall::Landroid/util/AttributeSet.getAttributeValue(),0.0005135320484412502
APICall::Landroid/os/Parcel.writeIntArray(),0.0005013927264745506
APICall::Landroid/view/View.setTag(),0.00044487098936817835
APICall::Landroid/content/res/Resources.getText(),0.0004133039323409087
APICall::Landroid/view/ViewGroup.getWidth(),0.0004110934819179975
APICall::Landroid/view/accessibility/AccessibilityNodeInfo.getBoundsInScreen(),0.00041026876075332734
APICall::Landroid/view/VelocityTracker.obtain(),0.0004102572005121587
APICall::Landroid/view/animation/AnimationSet.addAnimation(),0.00034846025128784295
APICall::Landroid/widget/ListView.getFirstVisiblePosition(),0.000335718740566355
APICall::Landroid/view/animation/AnimationUtils.currentAnimationTimeMillis(),0.00032494675377074466
APICall::Landroid/view/MenuItem.expandActionView(),0.0002953439701995958
APICall::Landroid/view/ViewGroup.getBottom(),0.00028774021192596845
APICall::Landroid/view/accessibility/AccessibilityEvent.setPackageName(),0.0002755973045274509
APICall::Landroid/widget/OverScroller.getFinalX(),0.00023489977433405662
APICall::Landroid/view/ViewConfiguration.getScaledMaximumFlingVelocity(),0.00022640660933231246
APICall::Landroid/view/accessibility/AccessibilityEvent.setClassName(),0.00022256496604617472
APICall::Landroid/view/ViewConfiguration.getScaledMinimumFlingVelocity(),0.00021949773142866915
APICall::Landroid/view/ViewParent.requestDisallowInterceptTouchEvent(),0.00021522123244659401
APICall::Landroid/view/View.clearAnimation(),0.00021258751824254103
APICall::Landroid/content/res/Resources.getResourceTypeName(),0.00020031987448487955
APICall::Landroid/widget/OverScroller.getCurrVelocity(),0.00011482503164411133
