feature,shap_importance
vt_detection,0.1258690303203058
APICall::Landroid/util/SparseArray.size(),0.008861824671258095
APICall::Landroid/view/View.getId(),0.00565423345308878
APICall::Landroid/view/MotionEvent.obtain(),0.005204609207020299
APICall::Landroid/view/View.setLayoutParams(),0.004518821849290337
APICall::Landroid/content/Intent.getStringExtra(),0.00407203464028881
APICall::Landroid/content/SharedPreferences.edit(),0.003966767333009304
APICall::Landroid/content/Intent.setData(),0.0036758033421736983
APICall::Landroid/content/Intent.setComponent(),0.0030495046049682168
APICall::Landroid/widget/ImageView.setImageDrawable(),0.003026764213131748
APICall::Landroid/os/Parcel.writeInt(),0.0029727112816329104
APICall::Landroid/content/Context.getApplicationContext(),0.0026443358908149832
APICall::Landroid/os/HandlerThread.getLooper(),0.0024013731918377437
APICall::Landroid/os/Parcel.enforceInterface(),0.002378460017522162
APICall::Landroid/util/Log.d(),0.0023686488243706326
APICall::Landroid/os/Bundle.putStringArray(),0.002309355841264245
APICall::Landroid/content/Intent.addCategory(),0.002284571104175316
APICall::Landroid/util/SparseArray.keyAt(),0.0020188408745875144
APICall::Landroid/widget/ImageButton.setOnClickListener(),0.0019917179104410776
APICall::Landroid/widget/TextView.setOnClickListener(),0.0019126615652567429
APICall::Landroid/view/ViewTreeObserver.isAlive(),0.001598974529345403
APICall::Landroid/view/View.draw(),0.0014438713152659845
APICall::Landroid/view/KeyEvent.getRepeatCount(),0.0013646625898416967
APICall::Landroid/view/ViewGroup.indexOfChild(),0.001360393250855682
APICall::Landroid/content/Context.obtainStyledAttributes(),0.0013392183901956378
APICall::Landroid/os/Parcel.writeList(),0.0012750291440467416
APICall::Landroid/view/View.hasOverlappingRendering(),0.0012295010540758944
APICall::Landroid/os/Parcel.writeBundle(),0.0012167295814648406
APICall::Landroid/os/SystemClock.elapsedRealtime(),0.0011612062301449802
APICall::Landroid/widget/ListView.setAdapter(),0.0010752763987973396
APICall::Landroid/os/Parcel.createTypedArray(),0.0010539361156762799
APICall::Landroid/content/SharedPreferences.getInt(),0.0010500510134128292
APICall::Landroid/view/ViewGroup.getWidth(),0.001036614028664692
APICall::Landroid/net/Uri.encode(),0.0010289175981883847
APICall::Landroid/view/accessibility/AccessibilityNodeInfo.getBoundsInScreen(),0.0010237547223588917
APICall::Landroid/content/ComponentName.getPackageName(),0.0008201269873515576
APICall::Landroid/view/animation/AnimationUtils.currentAnimationTimeMillis(),0.0007268294582492479
APICall::Landroid/widget/ListView.getFirstVisiblePosition(),0.0007206682330064894
APICall::Landroid/view/View.getMinimumHeight(),0.0007177299284669276
APICall::Landroid/content/pm/PackageManager.queryIntentServices(),0.0006891529559969069
APICall::Landroid/view/accessibility/AccessibilityEvent.setPackageName(),0.0006801013134765364
APICall::Landroid/view/ViewGroup.getBottom(),0.0006754860879480221
APICall::Landroid/view/ViewTreeObserver.addOnGlobalLayoutListener(),0.0006728386960227904
APICall::Landroid/view/accessibility/AccessibilityEvent.setClassName(),0.000606142475852765
APICall::Landroid/net/ConnectivityManager.getActiveNetworkInfo(),0.0005785627115980924
APICall::Landroid/os/Parcel.writeIntArray(),0.000524504589818956
APICall::Landroid/widget/OverScroller.getFinalX(),0.0005151441350540199
APICall::Landroid/widget/TextView.setLayoutParams(),0.00044746755143472444
APICall::Landroid/view/View.clearAnimation(),0.0004359834270105238
APICall::Landroid/view/VelocityTracker.obtain(),0.0004022076003121539
APICall::Landroid/content/res/Resources.getColorStateList(),0.00039241323034400525
APICall::Landroid/util/AttributeSet.getAttributeValue(),0.00036569080690165173
APICall::Landroid/view/ViewConfiguration.getScaledMaximumFlingVelocity(),0.0003558995128500548
APICall::Landroid/content/res/Resources.getText(),0.00034269724624664015
APICall::Landroid/view/accessibility/AccessibilityNodeInfo.isLongClickable(),0.00031960898308830367
APICall::Landroid/view/MenuItem.expandActionView(),0.00028691468866448843
APICall::Landroid/view/View.setTag(),0.00028242624912504645
APICall::Landroid/view/ViewParent.requestDisallowInterceptTouchEvent(),0.00026899308316547123
APICall::Landroid/view/MotionEvent.recycle(),0.0002507644934023673
APICall::Landroid/view/animation/AnimationSet.addAnimation(),0.00024581078561108574
APICall::Landroid/content/res/Resources.getResourceTypeName(),0.00018466945870894305
APICall::Landroid/view/ViewConfiguration.getScaledMinimumFlingVelocity(),0.00018229319317539225
APICall::Landroid/widget/OverScroller.getCurrVelocity(),0.00011814205269956498
